key1,"1"
key2,"2",
key3,"3"
key4,"4"
keystring,"<KEY1>, <KEY2>, <KEY3>, ve <KEY4>"
color1,"kırmızı"
color2,"yeşil"
color3,"mavi"
color4,"sarı"
word1,"kadar"
word2,"ise"
word3,"orta"
word4,"zayıf"
practiceText, "Teste başlamadan önce renkler ve numaralı tuşlar arasındaki eşlemeyi öğrenin. Alıştırma için arka arkaya [<KEYSTRING>] tuşlarına, Asıl testi başlatmak içinse boşluk tuşuna basın."
Inst1, "Kelimeleri ve kelime renklerini ne kadar iyi okuyabildiğinizi belirlemeye yönelik test başlamak üzere. Bu ilk kısımda yapabildiğiniz kadar hızlı bir şekilde dairelerin rengini söyleyin. Gri dikdörtgeni izleyin ve renkle uyumlu doğru tuşa [<KEYSTRING>] basın.\n\n\n   Başlamak için herhangi bir tuşa basın."
Inst2,"Bu kez, yapabildiğiniz kadar hızlı bir şekilde kelimelerin rengini söyleyin. Gri dikdörtgeni izleyin ve renkle uyumlu doğru tuşa [<KEYSTRING>] basın.\n\n\n   Başlamak için herhangi bir tuşa basın."
inst3, "Bu kısımda da, yapabildiğiniz kadar hızlı bir şekilde kelimelerin basılı olduğu rengi söyleyin. Kelimeyi okumayın! Onun yerine kelimenin yazılı olduğu mürekkep rengini söyleyin.\n\n\n   Başlatmak için herhangi bir tuşa basın."
headbegin,"Başlatmak için herhangi bir tuşa basın."
headBlock,"Rengi belirtmek için tuşa basın."
Exit,"Şimdi bitirdiniz. Katıldığınız için teşekkür ederiz."
