inst1,"Sodelovali boste v eksperimentu, pri katerem boste morali kategorizirati kartice glede na slicice, ki bodo na njih. Na zacetku boste videli stiri kupe kartic (kliknite z misko za predogled kupov).  "
inst2key,"Vsak kup se razlikuje glede na stevilo, barvo in obliko. Videli boste niz kartic za katere boste morali dolociti v kateri kup spadajo. Z misko boste morali klikniti na kup, za katerega menite, da mu kartica pripada. Pravilen odgovor je odvisen od pravila, ki pa ga vi ne boste poznali. Pri vsaki vaji se bo izpisalo, ali je bil vas odgovor pravilen ali ne.  Ľubovoľnou klávesou pokračovať"
inst2mouse,"Vsak kup se razlikuje glede na stevilo, barvo in obliko. Videli boste niz kartic za katere boste morali dolociti v kateri kup spadajo. Z misko boste morali klikniti na kup, za katerega menite, da mu kartica pripada. Pravilen odgovor je odvisen od pravila, ki pa ga vi ne boste poznali. Pri vsaki vaji se bo izpisalo, ali je bil vas odgovor pravilen ali ne.  Kliknite z misko za nadaljevanje. "
inst3,"Pravila se bodo med nalogo spreminjala, vasa naloga pa bo cimprej ugotoviti katero je, torej po katerem pravilu boste morali kartice kategorizirati. Kliknite z misko za nadaljevanje.  Naloga je koncana. Opozorite eksperimentatorja, da ste z nalogo koncali."
debrief,"Naloga je koncana. Opozorite eksperimentatorja, da ste z nalogo koncali. "
continuemouse,"Kliknite z misko za nadaljevanje. "
continuekey,"Ľubovoľnou klávesou pokračovať"
headerkey,"Ľubovoľnou klávesou pokračovať, da mu kartica pripada."
headermouse,"Kliknite na kup za katerega menite, da mu kartica pripada."
correct,"Correto!"
incorrect,"Incorreto"
author,"Maja Drascek"
