color1,"빨강"
color2,"파랑"
color3,"초록"
color4,"노랑"
black,"검정"
word1,"언제"
word2,"단단한"
word3,"그리고"
word4,"위에"
correct,"Correct"
incorrect,"Incorrect"
tooslow,"Too slow"
keyheader, "1 = 빨강   2 = 파랑  3 = 초록  4 = 노랑"
sayheader, "말하세요 '빨강', '파랑', '초록', or '노랑'"
practiceText,"Before we begin, take a moment to learn the mapping between colors and the keyboard numbers.  Press the numbers 1-4 consecutively to practice the responses, and space bar to begin the test."
InstructionsBase,"글자의 색깔을 맞추는 게임을 시작합니다. 쓰여진 단어의 색깔로 답하면 됩니다."
KeyManual,"키보드의 1-2-3-4 키를 눌러서 답하십시오."
KeyVocal,"마이크에 단어의 색깔을 크고 분명하게 발음해서 답하십시오."
Break1Text,"연습 게임이 끝났습니다. 이제 진짜 게임을 시작합니다. 최대한 빨리 대답해야 하는 것을 잊지마십시오. 시작하려면 아무 키나 누르십시오."
Break2Text, "짧은 휴식을 시작합니다. 게임을 다시 시작할때 최대한 빨리 대답하야 하는 것을 잊지마십시오. 시작하려면 아무 키나 누르십시오."
PracticeHeaderText,"연습"
TestHeaderText,"실전"
footer1textmanual,"누르십시오 <KEYSTRING> 단어의 색깔"
footer1textmanual2,"누르십시오 <KEYSTRING> 또는 '5' 다른 오류."
footer1textvocal,"말하십시오 '<KEYSTRING>' 화면에 나타난 단어의 숫자"
footer2text,"최대한 정확하고 빠르게 대답하십시오."
exit,"게임이 끝났습니다. 참여해 주셔서 감사합니다."
