key1,"1"
key2,"2",
key3,"3"
key4,"4"
keystring,"<KEY1>, <KEY2>, <KEY3>, of <KEY4>"
color1,"rood"
color2,"groen"
color3,"blauw"
color4,"geel"
word1,"als"
word2,"moeilijk"
word3,"en"
word4,"over"
practiceText, "Voor we beginnen, neem een moment om de overeenkomst tussen de kleuren en toetsenbord nummers te leren.  Toets de nummers 1-4 achtereenvolgens om de stimuli te oefenen, en druk op de space bar om de test te beginnen." 
inst1, "Je wordt getest op hoe goed je woorden en de kleuren waarin ze verschijnen kunt lezen. In het eerste deel, moet je de namen van de kleuren van de stippen zo snel mogelijk benoemen. Volg het grijze vierkant en druk vervolgens op de juiste toets[1-4].\n\n   Druk op een willekeurige toets om te beginnen."
inst2, "Benoem nu de kleuren van de woorden zo snel als je kunt. Volg het grijze vierkant en druk op de juiste bijbehorende toets [1-4].\n\n\n   Druk op een willekeurige toets om te beginnen."
inst3, "Opnieuw, benoem de kleuren waarin de woorden worden getoond zo snel als je kunt. Lees niet het woord! Noem in plaats daarvan de kleur waarin het is geprint.\n\n\n   Druk op een willekeurige toets om te beginnen."
headBegin,"Druk op een willekeurige toets om te beginnen"
headBlock,"Druk op een toets om de kleur aan te geven."
exit,"Je bent nu klaar. Bedankt voor je deelname."
