color1,"rosso"
color2,"blu"
color3,"verde"
color4,"giallo"
black,"nero"
word1,"quando"
word2,"duro"
word3,"e"
word4,"sopra"
correct,"Corretto"
incorrect,"Scorretto"
tooslow,"Troppo lento"
keyheader,"1 = rosso   2 = blu  3 = verde  4 = giallo"
sayheader,"Say 'rosso', 'blu', 'verde', or 'giallo'"
practiceText,"Prima di iniziare la prova, la preghiamo di prendersi un momento per imparare l'associazione tra i colori e i numeri della tastiera.  La prego di premere i numeri 1-4 uno dopo l'altro per esercitarsi con le risposte, e la barra spaziatrice per iniziare il test."
InstructionsBase,"Sta per prendere parte ad una prova in cui le verrà chiesto di stabilire il colore in cui sono scritte le parole. Qualche volta, le parole saranno effettivamente nomi di colori. Quando ciò accadrà, La prego di provare a rispondere non leggendo il nome del colore scritto, bensì con il colore in cui è scritta la parola."
KeyManual," Per rispondere, la preghiamo di utilizzare i tasti 1-2-3-4 collocati lungo il bordo superiore della tastiera."
KeyVocal,"You will need to respond by saying the color of the written word, loudly and clearly, into the microphone."
Break1Text,"L’allenamento è terminato. Ora cominceremo il test per davvero. Si ricordi di rispondere più velocemente e accuratamente possibile. Prema un tasto qualsiasi per cominciare."
Break2Text,"Ora può fare una breve pausa.  Quando ricomincerà, si ricordi di rispondere più velocemente e accuratamente possibile. Prema un tasto qualsiasi per cominciare."
PracticeHeaderText,"ALLENAMENTO"
TestHeaderText,"TEST"
footer1textmanual,"Prema <KEYSTRING> per il colore della parola"
footer1textmanual2," Prema  <KEYSTRING> o '5' per altri errori."
footer1textvocal,"Say '<KEYSTRING>' for the color that appears on the screen"
footer2text,"Risponda nel modo più veloce e preciso possibile. "
exit,"Ora ha finito. La ringraziamo per la sua partecipazione."
